step,train,validation
100,7.277078517278036,7.332614898681641
200,6.502815818786621,6.671227248509725
300,5.923757235209147,6.160901610056559
400,5.546770159403483,5.815555493036906
500,5.273986530303955,5.57625379562378
600,4.981022103627523,5.440089575449625
700,4.8702595392862955,5.293343098958333
800,4.765645980834961,5.254247840245565
900,4.638180414835612,5.125361442565918
1000,4.556503899892172,5.080139509836832
1100,4.492184082667033,5.010221370061239
1200,4.347270854314169,4.970751142501831
1300,4.343847783406575,4.947641404469808
1400,4.2683056433995565,4.894111712773641
1500,4.205919957160949,4.840457042058309
1600,4.1189881006876625,4.7875137646993
1700,4.0487731218338014,4.762317021687825
1800,4.018597761789958,4.736485624313355
1900,3.977785929044088,4.704631582895915
2000,3.9495304107666014,4.705235131581625
2100,3.907506306966146,4.61003425916036
2200,3.87303942044576,4.726014804840088
2300,3.8353397448857627,4.651660966873169
2400,3.8509495655695596,4.650006564458211
2500,3.7977397600809732,4.578962198893229
2600,3.773724913597107,4.568429485956828
2700,3.791654133796692,4.594870599110921
2800,3.7295133193333943,4.537777280807495
2900,3.744915795326233,4.5445326169331866
3000,3.7506120204925537,4.57602014541626
