step,train,validation
100,7.027544434865316,7.109262561798095
200,6.085770400365194,6.312213738759358
300,5.4604599634806315,5.778760766983032
400,5.128778139750163,5.476497141520182
500,4.884580850601196,5.275444555282593
600,4.603132438659668,5.156655422846476
700,4.502440198262533,5.055045525232951
800,4.388427718480428,5.0160928885142
900,4.24214559396108,4.874711974461873
1000,4.131438120206197,4.8207828839619955
1100,4.029661663373312,4.7286302248636884
1200,3.840086579322815,4.679545323053996
1300,3.8093724330266316,4.647425301869711
1400,3.7031633456548056,4.5891902605692545
1500,3.63056538105011,4.534445349375407
1600,3.502171778678894,4.474051523208618
1700,3.4266692479451497,4.465007495880127
1800,3.363728666305542,4.4087356726328535
1900,3.3019225438435873,4.397012265523275
2000,3.251216753323873,4.397235631942749
2100,3.1962403615315753,4.295458197593689
2200,3.1392274936040243,4.430774927139282
2300,3.1003902117411295,4.358769528071085
2400,3.108981561660767,4.358210595448812
2500,3.0314453999201456,4.288661535580953
2600,2.992408553759257,4.267757987976074
2700,3.011819100379944,4.300109481811523
2800,2.953427275021871,4.260241023699442
2900,2.949905514717102,4.246193202336629
3000,2.951711821556091,4.286993924776713
