step,train,validation
100,7.027439403533935,7.109145402908325
200,6.08576291402181,6.312211751937866
300,5.460423803329467,5.778740040461222
400,5.128734954198202,5.476379140218099
500,4.884589147567749,5.275437800089518
600,4.603120485941569,5.156604417165121
700,4.502394326527914,5.054947805404663
800,4.388471460342407,5.015992959340413
900,4.242329581578573,4.8747848192850745
1000,4.131707040468852,4.820919211705526
1100,4.029966878890991,4.728940375645956
1200,3.840132713317871,4.679294522603353
1300,3.809546677271525,4.647287273406983
1400,3.7032430092493693,4.589190912246704
1500,3.6304856379826864,4.5342469374338785
1600,3.5024557669957477,4.474163516362508
1700,3.426844008763631,4.465005429585775
1800,3.3639910221099854,4.408691056569418
1900,3.302357029914856,4.39736483891805
2000,3.2514697790145872,4.397253894805909
2100,3.1963897546132407,4.2952686230341595
2200,3.139585749308268,4.430808639526367
2300,3.100653568903605,4.358847459157308
2400,3.109154399236043,4.358153072992961
2500,3.031613270441691,4.288651156425476
2600,2.9926907142003376,4.2676790952682495
2700,3.0118914286295575,4.3000560601552325
2800,2.9536922772725425,4.260114860534668
2900,2.950027926762899,4.246215057373047
3000,2.9519521156946817,4.287123847007751
