step,train,validation
100,7.272245311737061,7.328437964121501
200,6.563173007965088,6.656467946370443
300,5.988702344894409,6.1830835501352945
400,5.546040423711141,5.7907783190409345
500,5.247483396530152,5.570680586496989
600,5.05564759572347,5.44006183942159
700,4.922307141621908,5.311969296137492
800,4.817174037297566,5.274063920974731
900,4.685671869913737,5.167883205413818
1000,4.574502786000569,5.116312837600708
1100,4.4981643517812095,5.0693964004516605
1200,4.448719851175944,5.030616315205892
1300,4.38103756904602,4.998775704701742
1400,4.340804672241211,5.024974807103475
1500,4.335965196291606,4.932750066121419
1600,4.277985827128092,4.893114217122396
1700,4.217153708140056,4.88555809656779
1800,4.174202036857605,4.848815011978149
1900,4.149125051498413,4.8732766310373945
2000,4.0778099536895756,4.815924247105916
2100,4.0871135552724205,4.847796392440796
2200,4.0036418279012045,4.802058251698812
2300,3.9926315784454345,4.785823424657186
2400,4.0414824406305945,4.728216902414958
2500,3.9468677202860514,4.8026469071706135
2600,3.965227739016215,4.790282694498698
2700,3.9442892630894977,4.703755410512288
2800,3.9056258837382,4.765896129608154
2900,3.9142550468444823,4.678286774953206
3000,3.908508610725403,4.749775711695353
