step,train,primary,familiar,common256,training_seconds,targets_per_second
100,8.45054048538208,6.855781824536403,7.22292206600963,6.855781824536403,40.19603962497786,10190.0586182494
200,6.544053266048431,6.041553748702139,6.433607803035404,6.041553748702139,38.879087375011295,10535.226715822082
300,5.905071289539337,5.588141420746363,5.90066458940831,5.588141420746363,37.31640175008215,10976.406641326244
400,5.466356146335602,5.308636272565567,5.536608076709949,5.308636272565567,36.88608770794235,11104.457681799757
500,5.171082599163055,5.111270805806576,5.288397659376237,5.111270805806576,36.868776415940374,11109.671646789659
600,4.942307238578796,4.987418735814359,5.102873876873681,4.987418735814359,36.97240354097448,11078.53319695764
700,4.767532632350922,4.885405457779133,4.970904038316326,4.885405457779133,36.94038025010377,11088.137079987133
800,4.62283579826355,4.787643681904141,4.861915357225798,4.787643681904141,37.948251666966826,10793.646136708543
900,4.528507952690124,4.707054882776648,4.791329043117332,4.707054882776648,36.4625682909973,11233.43799402993
1000,4.415563981533051,4.653274944141796,4.6965373793135194,4.653274944141796,35.51578762498684,11532.899236953126
1100,4.313751094341278,4.590673205187715,4.6297731687638795,4.590673205187715,35.46310358401388,11550.032529714636
1200,4.229092518091202,4.541653792131474,4.57308899438411,4.541653792131474,35.4277675000485,11561.552671910225
1300,4.155159956216812,4.501071575374635,4.515419250249412,4.501071575374635,35.43896112497896,11557.9008807709
1400,4.07111342549324,4.458265244694546,4.45719684285301,4.458265244694546,35.692927832948044,11475.662683572273
1500,4.038496668338776,4.427160226998945,4.413581282842663,4.427160226998945,35.82819866598584,11432.335848602439
1600,3.9634356462955473,4.397811134318305,4.361976475583748,4.397811134318305,36.44270370807499,11239.561237857351
1700,3.9093510949611665,4.363117478741854,4.340361914079677,4.363117478741854,37.038619291968644,11058.727561392025
1800,3.848959677219391,4.344219462419164,4.302506337929703,4.344219462419164,35.805071250069886,11439.720288203602
1900,3.826682068109512,4.318876898449929,4.288378979252781,4.318876898449929,35.835938500007614,11429.866696526253
2000,3.775228844881058,4.307693019284106,4.270496905025615,4.307693019284106,35.62767958291806,11496.6791212635
2100,3.759398638010025,4.282083768692301,4.239524739654905,4.282083768692301,36.203057792037725,11313.96144361278
2200,3.70005753159523,4.2699919024128254,4.216970331755557,4.2699919024128254,35.87585241603665,11417.150323009668
2300,3.6524391663074494,4.261210144860854,4.204304021757578,4.261210144860854,37.626248290995136,10886.01757029353
2400,3.644851583242416,4.250620087758568,4.190162051788688,4.250620087758568,39.91025379206985,10263.026693189991
2500,3.6371458411216735,4.240621686630935,4.18060352387002,4.240621686630935,37.98743954207748,10782.511402125407
2600,3.61839396238327,4.227011063396073,4.1670068041598185,4.227011063396073,37.715344624826685,10860.301134047566
2700,3.5684092926979063,4.223727145670882,4.161642355810059,4.223727145670882,37.49469991680235,10924.210646007801
2800,3.569298641681671,4.218830324551222,4.15253091088061,4.218830324551222,38.01902833301574,10773.55255931944
2900,3.5614155626296995,4.213526181620906,4.147068687114546,4.213526181620906,38.18897570786066,10725.608435622158
3000,3.5744805371761323,4.2078668374600365,4.133920247424462,4.2078668374600365,39.593018708052114,10345.25816332107
