sample,prompt,seed,repeated_trigram_ratio
1,Манас,1337,0.015151515151515152
2,Манас,2026,0.014285714285714285
3,Манас,3407,0.03571428571428571
4,Манас,6036,0.019867549668874173
5,Айкөл Манас,1337,0.0784313725490196
6,Айкөл Манас,2026,0.0
7,Айкөл Манас,3407,0.1901840490797546
8,Айкөл Манас,6036,0.014285714285714285
9,Бакай,1337,0.052980132450331126
10,Бакай,2026,0.12582781456953643
11,Бакай,3407,0.02
12,Бакай,6036,0.032679738562091505
13,"— Кана, баатыр",1337,0.027972027972027972
14,"— Кана, баатыр",2026,0.006896551724137931
15,"— Кана, баатыр",3407,0.052980132450331126
16,"— Кана, баатыр",6036,0.04861111111111111
17,Кылычын сууруп,1337,0.015748031496062992
18,Кылычын сууруп,2026,0.03164556962025317
19,Кылычын сууруп,3407,0.028985507246376812
20,Кылычын сууруп,6036,0.014492753623188406
