step,delta
100,-0.17818107604980415
200,-0.31740674972534144
300,-0.3311985651652014
400,-0.32391746838887503
500,-0.33788851102193185
600,-0.3606414953867594
700,-0.3709455649058029
800,-0.39143247604370046
900,-0.3807958761850996
1000,-0.3877440293629961
1100,-0.3913666725158693
1200,-0.37678011258443256
1300,-0.3600347201029468
1400,-0.35093708833058646
1500,-0.3397736946741734
1600,-0.323569091161092
1700,-0.30607999165852906
1800,-0.3079723676045738
1900,-0.3027412573496502
2000,-0.28038269678751604
2100,-0.2849843978881834
2200,-0.2558815638224283
2300,-0.26153313318888305
2400,-0.2541766564051313
2500,-0.2400369723637903
2600,-0.25724877516428624
2700,-0.2427584807078036
2800,-0.2374231576919552
2900,-0.23959713776906355
3000,-0.23245450655619315
