step,train,validation
100,6.820268185933431,6.931081485748291
200,5.7297661622365315,5.994806989034017
300,5.077608060836792,5.4475622018178305
400,4.734157053629557,5.152579673131307
500,4.470977671941122,4.937556044260661
600,4.154082147280375,4.796013927459716
700,4.0219276984532675,4.684099960327148
800,3.874388647079468,4.6246604124705
900,3.710542933146159,4.493916098276774
1000,3.579359443982442,4.433038854598999
1100,3.48159708182017,4.337263552347819
1200,3.2771132310231526,4.3027652104695635
1300,3.250084145863851,4.287390581766764
1400,3.141832534472148,4.238253172238668
1500,3.0600030501683553,4.194671654701233
1600,2.9404910802841187,4.150482432047526
1700,2.842920915285746,4.158927504221598
1800,2.7907779852549237,4.10076330502828
1900,2.711580681800842,4.094271008173624
2000,2.6607242743174235,4.116852935155233
2100,2.614267595609029,4.0104737997055055
2200,2.540532128016154,4.174893363316854
2300,2.500408720970154,4.097236394882202
2400,2.5059056520462035,4.10403393904368
2500,2.424004069964091,4.048624563217163
2600,2.3838717699050904,4.010509212811788
2700,2.3947495142618815,4.0573510011037195
2800,2.343949278195699,4.022817866007487
2900,2.3415284792582196,4.006596064567566
3000,2.3475932757059734,4.05453941822052
