step,train,validation
100,7.064748207728068,7.135575660069784
200,6.151107009251913,6.366907930374145
300,5.460938135782878,5.781893905003866
400,5.086171452204386,5.438111400604248
500,4.8249904155731205,5.243935251235962
600,4.529195070266724,5.1114439646403
700,4.414135583241781,5.0175532023111975
800,4.287004295984904,4.980400307973226
900,4.1402908643086755,4.8395755608876545
1000,4.029535937309265,4.81484678586324
1100,3.9319746096928916,4.741284275054932
1200,3.704470237096151,4.6819329261779785
1300,3.6592849334081015,4.661755386988322
1400,3.5566385825475058,4.610663064320883
1500,3.441028841336568,4.545811986923217
1600,3.322085801760356,4.508490737279256
1700,3.218221728006999,4.482238340377807
1800,3.1334235270818076,4.449840625127156
1900,3.0720224142074586,4.425817521413167
2000,2.993802014986674,4.439347139994303
2100,2.9433695475260415,4.349620111783346
2200,2.8721470832824707,4.505104080835978
2300,2.830736676851908,4.4192697683970135
2400,2.821809673309326,4.422476784388224
2500,2.7366761763890586,4.362172977129618
2600,2.697090164820353,4.334415555000305
2700,2.7020795504252115,4.378404410680135
2800,2.6549052794774375,4.327172970771789
2900,2.6455425024032593,4.3216637452443445
3000,2.6517533461252847,4.370885443687439
